,Texts,SWN Analysis,Emotions
1167,"To all students like me:,Don't study 𝗵𝗮𝗿𝗱, study 𝘄𝗲𝗹𝗹; not just with your 𝗺𝗶𝗻𝗱, but with your 𝗵𝗲𝗮𝗿𝘁. Never do it just to 𝗽𝗮𝘀𝘀, but to 𝗹𝗲𝗮𝗿𝗻. Do not 𝗺𝗲𝗺𝗼𝗿𝗶𝘇𝗲, but 𝘂𝗻𝗱𝗲𝗿𝘀𝘁𝗮𝗻𝗱 it fully. Never think you are 𝘀𝘁𝘂𝗽𝗶𝗱. Always tell yourself that you can 𝗱𝗼 it. Don't call it 𝗱𝗶𝗳𝗳𝗶𝗰𝘂𝗹𝘁, but a 𝗰𝗵𝗮𝗹𝗹𝗲𝗻𝗴𝗲. Whenever you encounter an easy part, grab the opportunity to call yourself 𝘀𝗺𝗮𝗿𝘁. Always remember that in any 𝗱𝗶𝗳𝗳𝗶𝗰𝘂𝗹𝘁𝗶𝗲𝘀 we encounter. 𝗚𝗼𝗱 is with us to guide us in our… See More",Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.5, 'Fear': 0.0}"
1168,"It doesn't hurt to thank someone who help you. Even if someone was trying to help you but you find it not helpful, you should thank them too. Nobody has obligation to help anyone, just appreciate when someone is trying to help you. Just two words ""thank you"" is enough. Sometimes people will say ""no need lah, why need to say thank you? We are good friends mahh. No say thank you looks more natural, I only say thank you to strangers or elderly"". Or they will think""… See More",Positive,"{'Happy': 0.27, 'Angry': 0.07, 'Surprise': 0.6, 'Sad': 0.07, 'Fear': 0.0}"
1169,"Got rejected from many big companies for being a non mandarin speaker,  just curious is it the same situation we are facing? just for a sake of language with my first class they still refuse me,  this is in the real world and not like attending programme anymore.",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.25}"
1170,Anyone who wants to rent room/entire unit. You may contact 012-4056605 or 017-4068281 for further inquiries. Price is negotiable.,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
1171,去年我通过event认识一个很kewt的女生啦 but i wonder 为什么她不要active在insta followers也很少而已@.@,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1172,Meoww Meoww...,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1173,"Any bio student here..? I would like to ask do bio sch yr2 student need to go back to campus...? How if I become PETAS right now although I get hostel automatically before, can I still stay in hostel if back to campus? Thankss in advance.",Positive,"{'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.75}"
1174,"I want to register courses for this sem and suddenly i can't click on choosing the course and this appear, what does it mean?",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1175,"70% of usm student will be back so,",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1176,"E***** N* is smart, handsome, multi-talented and perfect in every way",Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
1177,No one but E*****,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1178,I saw her comments a lot and she is cute,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
1179,The most kind and reliable senior I have ever met,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
1180,"Both are smart, attractive, talented and very popular",Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
1181,#USMCFS28448,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1182,When you realise what you learn are not use or useless for work so you need to relearn during work and rethink the university purposes and unavoidable included the consideration of the meaning of life,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.25, 'Fear': 0.75}"
1184,Everyone talking about them but they forgot about the OG 黑皮王子,Positive,"{'Happy': 0.0, 'Angry': 1.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
1185,Let the bass kick,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0}"
1186,我也要来推广一下，不来看看可爱的小希多吗!!!! 谁能抗拒这么可爱的小希多和米法!!!!,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1187,Gosh masterpiece everywhere,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1188,实际意义上的猪队友，就是喜欢到处找哪里有好处，从别人身上那里捞取好处，拖累别人，榨干别人的好处了就前往寻找另一个目标。猪队友只是阻拦社会进步的绊脚石。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1189,"Andai ramai jadi pro tumbuk kalau mereka kata nah ambik penumbuk ni dan kemudian mungkin mereka kata sila sarapan sebelum ditumbuk,Many would be pro punch if they told them to get punched then some would say you should take your breakfast before you get punched",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.5}"
1190,"Do guys know there's actually two different anonymous girl simping over j**** k**, the other anonymous girl aready change her mind to E****e, im the one that ask whether he's single but j***n said nahhh not now",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.71, 'Sad': 0.0, 'Fear': 0.29}"
1191,YEAAAA IMGFLIP YEAAA,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1193,长头发的女生们看过来！,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1194,anyone here taking psychology as minor? can we take pilihan course first before taking asas-asas psychology? thanks in advance,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1195,I am a sunflower,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1196,"Kneel before me. I said... kneel! Is not this simpler? Is this not your natural state? It's the unspoken truth of humanity, that you crave subjugation. The bright lure of freedom diminishes your life's joy in a mad scramble for power, for identity. You were made to be ruled. In the end, you will always kneel.",Positive,"{'Happy': 0.1, 'Angry': 0.2, 'Surprise': 0.1, 'Sad': 0.3, 'Fear': 0.3}"
1198,Reply to #USMCFS28569,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1199,我想问如果y2s2才拿minor会不会太迟？因为这个sem拿不到想要的minor，我读的科系是4年制的,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1200,Recycle template though,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1201,我是来自马大的童鞋，这个sem会在USM实习,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1203,如果你认为你跪舔某些群体能让你的群体过得更好的话，很抱歉，你真的太天真了。强势的群体只要不依赖弱势群体，强势群体永远只会把弱势群体踩在脚下，永远不会有共生的概念，因为获得更多好处 大于 平分好处。弱势群体要做的，只能是不断的想办法强大自己才能让整个群体存活下去，现实就是这么残酷。弱肉强食、优胜劣汰，大自然永恒不变的法则，世界上不可能有和平共生的世界。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1205,hope everyone are doing great,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
1207,Urgent!,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1208,I love you guys so much,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
1209,我是 #USMCFS28668 的贴主，我是认真想顾好学业和兼职打工才想在活动后退出学会。什么爽爽下飞机，还是跳飞机的，其实真的不清楚别人的压力就别拿来当玩笑开，我也没有写说要临阵脱逃，只是说是不是真的被欺骗，是不是真的不能退出而已。但还是谢谢，这么说应该是能选择退出的，谢啦。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1210,"Cant believe some people in usm who r below 25 already have s**. It shows adult***, sin (because s** before marriage), and general crazy life",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
1212,听senior说merit不够会被赶出宿舍是真的吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1213,回复,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1214,"Hi, how long will you get confirmation whether your ptptn application lulus or not? I applied online and fill in everything on 25/9 but until now have not receive the email.  it still write sedang diproses. Should I wait? How is the procedure? Can someone help?",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.43}"
1215,Why BA students from SOM still can't register their major and elective lol...,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1216,hii anyone know when is the last day to drop course without paying money?,Negative,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
1218,Siapa tahu paling lama borang A diluluskan bila? Sebab saya punya borang A dah update pun tapi sampai sekarang tiada jawapan. Ada yang sama mcm saya?,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1219,Does anyone know when we can get our transcript and certificate of bachelor's degree? (Just graduated this year),Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1220,What should we do if the portal status show PETAS? What is PETAS actually?,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1221,Pretending to be straight is the most challenging part of my life. I wish my friends would be okay  with me but most of them have their personal opinion on why they can’t accept that ‘thing’. •_•,Negative,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.0, 'Fear': 0.67}"
1222,"Nak tanya student TI borang A awk dh approve kah? I apply pd 28/9, dh lepas at least 3 hari tapi dekan tak bagi tarikh mcm mana ni  School lain borang A approved took less than 2 hari",Negative,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
1223,想知道哪个电脑牌子是大家比较推荐的？比较普及的，续航能力好，不卡机，价格大约三千内以内，谢谢。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1225,"Neibuguanmo (内部观摩) is coming back again like finally Miss lenglui and lengzai de performance. After two year because of the covid. Haiyaa... Btw you guys can scroll their page and they are recruiting ppl. Join them !,Their page：https://www.facebook.com/neibuguanmo/",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
1226,TLDR,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1228,"Ptptn, just has exemption for first class? How about second class upper?",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1229,haiyo is it true we stay desa based on pusat pengajian?,Positive,"{'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
1230,I need linehayat urgently! I need to speak to peers as I prefer them over counselor,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
1231,"A conversation between me and a first year junior,Junior: Hey, do you know xxxxx?… See More",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1232,"请问各位学长学姐们，学生可以更改自己usm student 的email吗？如果可以更改的话是在哪里更改的呀？因为campus online也改不到请问还有什么办法？,谢谢你们",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1234,我的心有两个心房两个心室,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1236,"Anyone here registered muet on demand before ? When I buy the pin on this page (https://mypay.com.my/web/mpm), there is no option for Muet service to choose and cannot continue to the next page Appreciate that someone can leave his/her comment below. Thanks in advance!",Negative,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
1237,"Hi, I have applied Borang A to take my personal belongings from my hostel stor but my request was rejected. And in the REMARKS, it's stated no need to apply Borang A. I have emailed Nerve Centre but still no reply. So, I wanted to ask is it I can enter USM without applying Borang A as I will not stay there. I'll take my things n return back home.",Positive,"{'Happy': 0.14, 'Angry': 0.14, 'Surprise': 0.14, 'Sad': 0.29, 'Fear': 0.29}"
1239,Is it ok we wear this to have f2f class? Its hit the SOP requirement leh~,Negative,"{'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
1240,OH GOSH best boi and best gurl,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1241,Can I still drop or add my subjects after the 10 Oct? Cause I'm afraid my tutorials might clash.,Negative,"{'Happy': 0.0, 'Angry': 0.33, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.33}"
1242,Relatable,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1244,Kafe Tekun dengan Kafe Restu tak buka ke apa. Then Kami semua yg baru pindah ni  nak makan apa.,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1245,"I have finished my study. How to get degree transcript, certificate, and so on, when there's no convo?",Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1246,Is that possible monthly expenses at campus only RM300?,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
1248,"[A survey on postgraduate students’ satisfaction towards online classes in Malaysia],Online class is an online learning that the students and the instructor are separated geographically. Because of the disadvantages of traditional physical class method have made the online classes to overtake and been widely used nowadays.  But, online class is still fresh in Malaysia and it may have a great negative effect on some students who cannot adapted to it. This may ca… See More",Negative,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.14, 'Fear': 0.21}"
1249,Same energy,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1250,Yes he is just a guy,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1251,💯,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1253,"Since USM got lake, is that possible Loch Ness Monster appear?",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1258,I thought I'd stand any prison for a long time! But U*M made me understand being imprisoned is not that easy. Govt. declared interstate travel ya? We cannot travel inter-campus or go outside for taking food! I considered myself a patient man but U*M make me understand how tough it is! I think it's time to relieve the deputy jailors (Ne*** centre) and let us move freely. after 18 months!,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.4}"
1265,#USMCFS28974,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1267,"Just wondering, why no one in the Squid game tried to eat out the general shapes in their Dalgona candy or just bit the shape out? Why even try with a pick?",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
1268,"#USMCFS28974,Frog done",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1269,"#USMCFS28974,INAFROG",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1270,#usmcfs28974,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1272,To: her,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1273,Hi is there any esports competitions in USM? Any active CSGO or PUBG mobile players?,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1275,Increasing the price of vending machine drinks was a cheap move. Ngl. Shame on you vending machine man!,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
1277,"I saw my schoolmate tik tok video on my fyp, i was even freaking shock when she's actually got many view, comment n likes n started to grow follower... But...but..but she's an introvert!!, Howw?? I even never heard she speaking, she always quiet in class n even when she speak she doesn't have confident n her voice are lower, she even hard to make friends with us, always look blur2,She making a video content to attract customer n her business goes pretty well, c… See More",Positive,"{'Happy': 0.11, 'Angry': 0.06, 'Surprise': 0.17, 'Sad': 0.33, 'Fear': 0.33}"
1278,"Done, I finished him. What's next?",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1279,Can't believe I was even thinking of treating them after I get my first paid. I must be truly an idiot if I do so....,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1280,"You know I've learned my lesson. You just can't be too nice to people or else they will start to overstep the bounds. I used to help the cleaner to clean up some small mess in the common area. Like arranging the chairs and mopping up some leaking water. Then they asked me to clean up the cats poop. Since I am feeding cats sometime I'm alright with that. Then the things started escalated, now they asked me to clean up stuff god-know-who have left out. Blaming me … See More",Negative,"{'Happy': 0.1, 'Angry': 0.2, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.3}"
1282,"#USMCFS28974,Mobile Suit Gundam :Iron-blooded frog… See More",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1284,"I have seen enquiries about changing your courses of studies. I personally switched my course during my undergraduate studies. So I'm going to share with you the procedure and process.,It was four years ago so things may have changed. I'm just giving an insight on the procedure. For the latest information, please refer to the official websites. … See More",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.33, 'Fear': 0.5}"
1285,"To those who not sure whether the information you share is true or not, please don’t share it with others. Because some of the people will just share this misleading information to others without checking what they share is true or not. Be responsible with your own words.",Positive,"{'Happy': 0.0, 'Angry': 0.2, 'Surprise': 0.0, 'Sad': 0.2, 'Fear': 0.6}"
1287,Hype for thomas and uber cup but anyone more excited watching TI10? Lets go PSG.LGD,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.67, 'Fear': 0.0}"
1288,好样儿的,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1289,I tested my hypothesis with the Zoom community and then Discord. Clearly I'm not well liked. Time to k*ll myself,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1290,Did anyone know does The Parcel/Unistorage can accept the cash on delivery orders?,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1291,I wonder how many people listen to Eurobeat,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1292,想问那些已经毕业了而且之前把东西放宿舍仓库的人，你们东西怎样了，拿回去了吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1296,請問讀在不同的kampus會有機會見到面的嗎 就比如有活動之類的,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1297,"can anyone advice on how to take double degree? im actually not very fond with my current course (but now in 4th year already lol), and i really feel like i should pursue my dream course - psychology. however usm didnt hv this course. can i try to take it in another universities? is there any alternatives to this?",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1298,请问理华文化坊和理大中华文化艺术坊是不一样的东西吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1299,中秋节不是已经过了？为什么还有中秋嘉年华一系列活动？作为y1的小弟对此疑惑中...,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1300,之前SOM 有给我们google form 填 for language course appeal .. 请问有人得到吗？我没有获得任何消息 应该得不到了... TTATT,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1301,Actually how Malay parents give name to their children? Very very curious about that.,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
1302,Halohalo！我是direct intake chemical industry，有谁有什么chemistry whatsapp group，可以拉我进吗 TT,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1303,"Ada kah student dari Tawau yg sdh di Usm, kah yg ndak lama lagi gerak p sana. Mau tanya bah, perlu kah tu surat kebenaran dari polis?",Neutral,"{'Happy': 0.0, 'Angry': 1.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
1304,"I saw instagram story of P*SL gathering, no one wearing mask, no social distancing, karaoke and shouting. THEY ARE THE ONE WHO ARE GONNA MEET ALL THE FIRST YEAR STUDENTS AND PARENTS. Imagine if one of them get cov*d , we are all fu*ked. I know we cant stay at home forever, but at least follow the SOP",Negative,"{'Happy': 0.0, 'Angry': 0.12, 'Surprise': 0.38, 'Sad': 0.25, 'Fear': 0.25}"
1305,新生们，温馨提示，记得好好清洗自己的宿舍哟，尤其是床下面，会有很多‘’宝藏‘’。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1306,Do semi finalists deserve shout-out on media page if the participants that don't qualify beyond qualifiers get?,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
1307,"I'm quite annoyed when I found out most of the food operators in U*M don't comply with the SOPs especially on the mask-wearing rule. They are so reluctant to wear a mask properly when preparing food and dealing with customers.  When a person breathes, there're droplets released out from their nose & mouth, without a mask, these droplets would fall onto the food.  Guess what, if he/she is a silent transmitter, all his customers would be exposed to the risk of con… See More",Negative,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.1, 'Sad': 0.4, 'Fear': 0.4}"
1309,Is USM student dumb?,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1315,我接受别人的不完美，但我不接受别人依靠说谎来掩饰不完美，或是一直说让别人对你失去信心的谎话。说谎请看对象，有些人天生就是个测谎机，骗不过、瞒不过，不要以为自己的谎言能欺骗到任何人。这只会让人觉得你是一个完全没信用的人。套用老高的话，赚到信用 = 赚到钱。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1318,"Be careful, the cats on their way to rule this world. One tip, avoid the eye contact, you might fall into their traps! (｡ŏ_ŏ)",Positive,"{'Happy': 0.0, 'Angry': 0.2, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.2}"
1319,#USMCFS28974,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1321,为什么aman damai那么多蟑螂的？我打了很多只还一直跑来我房間，放了瘴瑙丸还是一样，以前住在aman的senior们有什么好建议吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1322,"Of course many people will be single forever in uni. Please do the math. The ratio of girls to boys is 2:1, how to 1+1=2?  1/3 people go where find? Unless you expect each boy date two girls at one time.",Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.2, 'Fear': 0.2}"
1323,"""But you're gay?"",As a straight person how should I even reply to this statement thrown at me lol",Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1324,#USMCFS29074,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1327,May i know how lsp401 will be conducted online?? And is it hard to score?,Negative,"{'Happy': 0.0, 'Angry': 0.67, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.33}"
1329,"Hi, just wanna ask is d tekun parcel opening bc i would like to send some parcel to school. Thanks",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.2, 'Fear': 0.8}"
1331,原来参了理X就要被逼换Profile Pic 不换的话就被Stalk被讲,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1333,Is that normal that i wear short pants walking around usm/school /canteen/hostel?,Negative,"{'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
1334,"至未来的junior们，不要跟没有上进心的人一组做group assigments, 不然你的成绩就毁了。",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1335,"Happy birthday to J****y L*u from CS School, from your secret admirer fanclub XOXO",Positive,"{'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.0}"
1337,回复 #USMCFS29113,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1338,"Recently I have problem in my relationship,  one girl had leaked to my girlfriends that I was dating another one,  it all happened because this girl is a friend of both in last semester and she saw me with the another one that she know I was not dating,  both of them is with me for 3 years plus now they are asking me to break up one of them and they are ready to accept it but I never thought this could happened so soon as I loved both of them and will keep on lo… See More",Negative,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.44, 'Sad': 0.0, 'Fear': 0.22}"
1340,我真的真的不想回去 回去要冒着风险 又不懂有没有人中c***d,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1341,有没有人跟我一样，明知道一些事情做了不太妥当，但就是为了让自己内心不压抑还是做了。像是对别人指指点点、抱怨所有人事物、对别人大发雷霆、高度炫耀自己、用讽刺的言语来贬低人伤了别人的自信心、以自己为中心认为自己是主角其他人都是配角、。。。。。。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
